,SRS011061,SRS012902,SRS011134,SRS054956
EX_12dgr180[fe],0.0,0.0,0.0,0.0
EX_12ppd_S[fe],0.0,0.0,0.0,0.0
EX_26dap_M[fe],106.69217777215908,109.97321069610689,20.073655201381662,0.0753089034285504
EX_2hyoxplac[fe],0.0009253538361087501,3.1777917887499925e-05,0.0032476628176280734,0.00011323634795999999
EX_2obut[fe],218.51106640424882,136.8510507176765,61.40203921798989,55.40622559999999
EX_2omfuc[fe],0.0,0.0,0.0,0.0
EX_2omxyl[fe],0.0,0.0,0.0,0.0
EX_3ddlhept[fe],0.0,0.0,0.0,0.0
EX_4abut[fe],119.18236959999999,136.9169968,58.379197600000005,55.40622559999999
EX_4hbz[fe],0.000203865275652082,7.001012733709455e-06,0.000715494602934047,2.4947169817518544e-05
EX_4hpro_LT[fe],0.0,0.0,0.0,0.0
EX_C02528[fe],20.0,20.0,20.0,20.000000000000004
EX_Lcyst[fe],0.0,0.0,0.0,0.0
EX_Ser_Thr[fe],9.0,9.0,9.0,0.3051452
EX_T_antigen[fe],3.0,3.0,3.0,0.3051452
EX_Tn_antigen[fe],9.0,9.0,9.0,0.3051452
EX_Tyr_ggn[fe],0.0,0.0,0.0,0.0
EX_ac[fe],295.1443068,239.9651596,180.7676128,63.203860399999996
EX_acald[fe],27.077288,109.205534,15.478104,0.0
EX_acerA[fe],0.0,0.0,0.0,0.0
EX_acgal[fe],17.0,17.0,17.0,6.3051452
EX_acgalglcur[fe],5.0,5.0,5.0,5.0
EX_acgalidour2s[fe],1.0,1.0,1.0,1.0
EX_acgalidour[fe],1.0,1.0,1.0,1.0
EX_acgam[fe],162.35710588055144,215.62601866422693,70.4593208,56.19393839999999
EX_acmana[fe],85.37640250320604,0.8106755999999999,8.861532100901227,1.6384862929153299
EX_acnam[fe],3.0,3.0,3.0,0.3051452
EX_ade[fe],73.21699517492925,69.11388840298629,20.087614000000002,0.07554560000000002
EX_adn[fe],67.66456314553335,62.74294272072192,33.84877972561725,23.29664843424593
EX_adocbl[fe],0.0,0.0,0.0,0.0
EX_ala_L[fe],150.4708031975602,101.25837446120231,144.87884162797536,4.385360119823169
EX_alaasp[fe],0.0,0.0,0.0,0.0
EX_alagln[fe],0.0,0.0,0.0,0.0
EX_alaglu[fe],0.0,0.0,0.0,0.0
EX_alagly[fe],0.0,0.0,0.0,0.0
EX_alahis[fe],0.0,0.0,0.0,0.0
EX_alaleu[fe],0.0,0.0,0.0,0.0
EX_alathr[fe],0.0,0.0,0.0,0.0
EX_amylopect900[fe],0.0,0.0,0.0,0.0
EX_amylose300[fe],0.0,0.0,0.0,0.0
EX_apio_D[fe],0.0,0.0,0.0,0.0
EX_arab_L[fe],0.0,0.0,0.0,0.0
EX_arabinan101[fe],0.0,0.0,0.0,0.0
EX_arabinogal[fe],0.0,0.0,0.0,0.0
EX_arabinoxyl[fe],0.0,0.0,0.0,0.0
EX_arabttr[fe],0.0,0.0,0.0,0.0
EX_arg_L[fe],111.22306481373226,141.87355675747358,39.68857891712357,48.13121247184807
EX_arsenb[fe],0.0,0.0,0.0,0.0
EX_asn_L[fe],245.78080334625162,239.0552804477868,88.28216487605513,59.97929183717791
EX_asp_L[fe],0.0,0.0,0.0,0.0
EX_bglc[fe],0.0,0.0,0.0,0.0
EX_btn[fe],0.0,0.0,0.0,0.0
EX_but[fe],0.0,0.0,0.0,0.0
EX_butso3[fe],0.0,0.0,0.0,0.0
EX_ca2[fe],0.005439050777564347,0.0035522154541425266,0.0023759255661914835,0.001195867362472569
EX_cbl1[fe],0.0,0.0,0.0,0.0
EX_cbl2[fe],0.0,0.0,0.0,0.0
EX_cd2[fe],0.0,0.0,0.0,0.0
EX_cellb[fe],0.0,0.0,0.0,0.0
EX_cgly[fe],0.0,0.0,0.0,0.0
EX_chol[fe],0.0,0.0,0.0,0.0
EX_cholate[fe],20.0,20.0,20.0,20.0
EX_chor[fe],76.59790431557792,78.29822476437681,18.97429164057756,0.07187548496785098
EX_chtbs[fe],0.0,0.0,0.0,0.0
EX_cit[fe],0.0,0.0,0.0,0.0
EX_cl[fe],0.0054390507775679,0.0035522154541922646,0.002375925566184378,0.0011958673624690164
EX_co2[fe],310.8531704,248.41418199999998,186.8326892,63.203860399999996
EX_cobalt2[fe],0.0054390507775665675,0.0035522154541415274,0.002375925566194037,0.0011958673624727911
EX_core2[fe],1.0,1.0,1.0,0.3051452
EX_core3[fe],1.0,1.0,1.0,0.3051452
EX_core4[fe],0.0,0.0,0.0,0.0
EX_core5[fe],0.0,0.0,0.0,0.0
EX_core6[fe],1.0,1.0,1.0,0.3051452
EX_core7[fe],0.0,0.0,0.0,0.0
EX_core8[fe],0.0,0.0,0.0,0.0
EX_cro4[fe],0.0,0.0,0.0,0.0
EX_csn[fe],0.0,0.0,0.0,0.0
EX_cspg_a[fe],0.0,0.0,0.0,0.0
EX_cspg_a_degr[fe],3.0,3.0,3.0,3.0
EX_cspg_ab_rest[fe],2.0,2.0,2.0,2.0
EX_cspg_b[fe],0.0,0.0,0.0,0.0
EX_cspg_b_degr[fe],1.0,1.0,1.0,1.0
EX_cspg_c[fe],0.0,0.0,0.0,0.0
EX_cspg_c_degr[fe],2.0,2.0,2.0,2.0
EX_cspg_c_rest[fe],1.0,1.0,1.0,1.0
EX_ctbt[fe],0.0,0.0,0.0,0.0
EX_cu2[fe],0.005439050777566123,0.0035522154541411943,0.002375925566194148,0.0011958673624730132
EX_cys_L[fe],70.11541993507377,27.802046751788204,42.97189798632981,55.39114325621914
EX_cytd[fe],100.35098799384218,95.45111300269343,49.17903222227805,31.97634452114076
EX_dad_2[fe],68.90349850745238,63.37767283341428,34.666194249466955,23.3279456350964
EX_dcyt[fe],159.29850640057555,154.39141630793083,83.72262280000001,59.905364399999996
EX_ddca[fe],20.939888872302987,0.48145407648813254,3.571463699783637,0.7568963270635223
EX_dextran40[fe],0.0,0.0,0.0,0.0
EX_dextrin[fe],0.0,0.0,0.0,0.0
EX_dgchol[fe],0.0,0.0,0.0,0.0
EX_dgsn[fe],0.0,0.0,0.0,0.0
EX_din[fe],0.0,0.0,0.0,0.0
EX_dms[fe],0.0,0.0,0.0,0.0
EX_dmso[fe],0.0,0.0,0.0,0.0
EX_drib[fe],0.0,0.0,0.0,0.0
EX_dsT_antigen[fe],0.0,0.0,0.0,0.0
EX_duri[fe],0.0,0.0,0.0,0.0
EX_ethso3[fe],0.0,0.0,0.0,0.0
EX_etoh[fe],27.07728800000001,109.205534,15.478104000000002,0.0
EX_f1a[fe],0.0,0.0,0.0,0.0
EX_fe2[fe],0.005439050777566609,0.0035522154541413886,0.002375925566193954,0.0011943925954427254
EX_fe3[fe],0.0017380055746660378,0.00342511649375854,0.0012203166309207175,0.000742967265172062
EX_fol[fe],0.0006115958269552468,2.1003038201183877e-05,0.002146483808802113,7.484150945258339e-05
EX_for[fe],268.8067432,239.06069159999998,88.3321328,59.980909999999994
EX_fru[fe],138.863236,136.1063212,56.80187600000002,55.33068
EX_fuc_L[fe],0.0,0.0,0.0,0.0
EX_fum[fe],40.921138,10.0473268,19.3283784,3.711426
EX_gal[fe],9.226714704941479,9.226714704941479,9.226714704941479,0.3051452
EX_galmannan[fe],0.0,0.0,0.0,0.0
EX_galt[fe],0.0,0.0,0.0,0.0
EX_galur[fe],0.0,0.0,0.0,0.0
EX_gam26s[fe],1.0,1.0,1.0,1.0
EX_gam[fe],3.9999999999999996,3.9999999999999996,2.7801752000000004,3.9999999999999996
EX_gbbtn[fe],0.0,0.0,0.0,0.0
EX_gcald[fe],0.0006288361671877851,0.002536162020226662,0.00035945961777006374,0.0
EX_gchola[fe],0.0,0.0,0.0,0.0
EX_glc_D[fe],79.66418159999998,0.8106755999999962,40.572931600000004,0.38069079999999644
EX_glcmannan[fe],0.0,0.0,0.0,0.0
EX_glcn[fe],0.0,0.0,0.0,0.0
EX_glcur[fe],9.0,9.0,8.235633422222222,9.0
EX_gln_L[fe],0.0,0.0,0.0,0.0
EX_glu_L[fe],91.42262128820003,215.9637292713041,126.60064400529266,4.08247669595319
EX_gly[fe],165.08346736068125,51.14774160786786,133.40799742150222,62.8987152
EX_glyasn[fe],0.0,0.0,0.0,0.0
EX_glyasp[fe],0.0,0.0,0.0,0.0
EX_glyb[fe],0.0,0.0,0.0,0.0
EX_glyc[fe],34.95408391967958,0.6121396688586107,8.795875861873784,0.41037395220946504
EX_glyclt[fe],0.0006288361671948905,0.0025361620202469792,0.0003594596177687315,0.0
EX_glycys[fe],0.0,0.0,0.0,0.0
EX_glygln[fe],0.0,0.0,0.0,0.0
EX_glyglu[fe],0.0,0.0,0.0,0.0
EX_glygn2[fe],0.0,0.0,0.0,0.0
EX_glygn4[fe],0.0,0.0,0.0,0.0
EX_glygn5[fe],0.0,0.0,0.0,0.0
EX_glyleu[fe],0.0,0.0,0.0,0.0
EX_glymet[fe],0.0,0.0,0.0,0.0
EX_glyphe[fe],0.0,0.0,0.0,0.0
EX_glypro[fe],0.0,0.0,0.0,0.0
EX_glytyr[fe],0.0,0.0,0.0,0.0
EX_gncore1[fe],0.0,0.0,0.0,0.0
EX_gncore2[fe],0.0,0.0,0.0,0.0
EX_gsn[fe],63.26950963240302,,30.664650607654412,21.265922440018468
EX_gthox[fe],0.000101932637826041,3.5005063668547276e-06,0.0003577473014670235,1.2473584908759272e-05
EX_gua[fe],61.782353351346764,64.64517324343527,19.29365793936567,0.07554560000000002
EX_h2[fe],215.48012520000003,239.154484,176.1581028,63.12831479999999
EX_h2o[fe],310.85317039999063,248.4141820000077,186.8326892000041,63.20386040001176
EX_h2s[fe],77.5272515733781,36.123889126842606,48.958456392071525,55.405114196690214
EX_h[fe],296.14319173212044,240.7302389765186,181.45645219030018,63.203860399999996
EX_ha[fe],0.0,0.0,0.0,0.0
EX_ha_deg1[fe],1.0,1.0,1.0,1.0
EX_ha_pre1[fe],1.0,1.0,1.0,1.0
EX_hdca[fe],77.538540259505,69.64184145132509,56.10038697057283,44.51499053143945
EX_hexs[fe],0.0,0.0,0.0,0.0
EX_hg2[fe],0.0,0.0,0.0,0.0
